",""species"",""plant.form"",""outflow"",""inflow"",""no3"""
"1,""Control"","""",2,3.117,35.8357394931023"
"2,""Control"","""",2.1,3.117,32.6275264677575"
"3,""Control"","""",2.5,3.117,19.7946743663779"
"4,""Control"","""",2.7,3.117,13.3782483156882"
"5,""Control"","""",2.7,3.117,13.3782483156882"
"6,""Agapanthus"",""Dryland"",1.1,3.117,64.7096567212063"
"7,""Agapanthus"",""Dryland"",0.8,3.117,74.3342957972409"
"8,""Agapanthus"",""Dryland"",0.7,3.117,77.5425088225858"
"9,""Agapanthus"",""Dryland"",0.7,3.117,77.5425088225858"
"10,""Agapanthus"",""Dryland"",1.1,3.117,64.7096567212063"
"11,""Carpobrotus"",""Dryland"",0.6,3.117,80.7507218479307"
"12,""Carpobrotus"",""Dryland"",1.3,3.117,58.2932306705165"
"13,""Carpobrotus"",""Dryland"",0.4,3.117,87.1671478986205"
"14,""Carpobrotus"",""Dryland"",1.3,3.117,58.2932306705165"
"15,""Carpobrotus"",""Dryland"",1.9,3.117,39.0439525184472"
"16,""Elegia"",""Dryland"",1.2,3.117,61.5014436958614"
"17,""Elegia"",""Dryland"",1.5,3.117,51.8768046198267"
"18,""Elegia"",""Dryland"",0.9,3.117,71.1260827718961"
"19,""Elegia"",""Dryland"",1,3.117,67.9178697465512"
"20,""Elegia"",""Dryland"",1.9,3.117,39.0439525184472"
"21,""Pennisetum"",""Dryland"",0.5,3.117,83.9589348732756"
"22,""Pennisetum"",""Dryland"",0.7,3.117,77.5425088225858"
"23,""Pennisetum"",""Dryland"",0.7,3.117,77.5425088225858"
"24,""Pennisetum"",""Dryland"",0.4,3.117,87.1671478986205"
"25,""Pennisetum"",""Dryland"",0.7,3.117,77.5425088225858"
"26,""Stenotaphrum"",""Dryland"",0.5,3.117,83.9589348732756"
"27,""Stenotaphrum"",""Dryland"",0.3,3.117,90.3753609239654"
"28,""Stenotaphrum"",""Dryland"",0.8,3.117,74.3342957972409"
"29,""Stenotaphrum"",""Dryland"",1.1,3.117,64.7096567212063"
"30,""Stenotaphrum"",""Dryland"",0.7,3.117,77.5425088225858"
"31,""Ficinia"",""Wetland"",1.1,3.117,64.7096567212063"
"32,""Ficinia"",""Wetland"",1.2,3.117,61.5014436958614"
"33,""Ficinia"",""Wetland"",1.4,3.117,55.0850176451716"
"34,""Ficinia"",""Wetland"",0.9,3.117,71.1260827718961"
"35,""Ficinia"",""Wetland"",0.6,3.117,80.7507218479307"
"36,""Zantedeschia"",""Wetland"",1.1,3.117,64.7096567212063"
"37,""Zantedeschia"",""Wetland"",0.8,3.117,74.3342957972409"
"38,""Zantedeschia"",""Wetland"",0.3,3.117,90.3753609239654"
"39,""Zantedeschia"",""Wetland"",1.2,3.117,61.5014436958614"
"40,""Zantedeschia"",""Wetland"",1.2,3.117,61.5014436958614"
"41,""Phragmites"",""Wetland"",1.6,3.117,48.6685915944819"
"42,""Phragmites"",""Wetland"",2.3,3.117,26.2111004170677"
"43,""Phragmites"",""Wetland"",1.8,3.117,42.2521655437921"
"44,""Phragmites"",""Wetland"",1.8,3.117,42.2521655437921"
"45,""Phragmites"",""Wetland"",1.8,3.117,42.2521655437921"
"46,""Typha"",""Wetland"",0.8,3.117,74.3342957972409"
"47,""Typha"",""Wetland"",1.1,3.117,64.7096567212063"
"48,""Typha"",""Wetland"",1.2,3.117,61.5014436958614"
"49,""Typha"",""Wetland"",0.5,3.117,83.9589348732756"
"50,""Typha"",""Wetland"",1.7,3.117,45.460378569137"
"51,""Control"","""",3.9,5.983,34.8153100451279"
"52,""Control"","""",4.4,5.983,26.4582985124519"
"53,""Control"","""",4.7,5.983,21.4440915928464"
"54,""Control"","""",2.8,5.983,53.2007354170149"
"55,""Control"","""",5,5.983,16.4298846732408"
"56,""Agapanthus"",""Dryland"",0.9,5.983,84.9573792411833"
"57,""Agapanthus"",""Dryland"",1.4,5.983,76.6003677085074"
"58,""Agapanthus"",""Dryland"",0.6,5.983,89.9715861607889"
"59,""Agapanthus"",""Dryland"",1.7,5.983,71.5861607889019"
"60,""Agapanthus"",""Dryland"",1.15,5.983,80.7788734748454"
"61,""Carpobrotus"",""Dryland"",2.6,5.983,56.5435400300852"
"62,""Carpobrotus"",""Dryland"",2.2,5.983,63.229149256226"
"63,""Carpobrotus"",""Dryland"",4.8,5.983,19.7726892863112"
"64,""Carpobrotus"",""Dryland"",3.35,5.983,44.0080227310714"
"65,""Carpobrotus"",""Dryland"",3.8,5.983,36.486712351663"
"66,""Elegia"",""Dryland"",3.7,5.983,38.1581146581982"
"67,""Elegia"",""Dryland"",3.7,5.983,38.1581146581982"
"68,""Elegia"",""Dryland"",3.3,5.983,44.843723884339"
"69,""Elegia"",""Dryland"",4.4,5.983,26.4582985124519"
"70,""Elegia"",""Dryland"",3.4,5.983,43.1723215778038"
"71,""Pennisetum"",""Dryland"",0.7,5.983,88.3001838542537"
"72,""Pennisetum"",""Dryland"",0.65,5.983,89.1358850075213"
"73,""Pennisetum"",""Dryland"",0.6,5.983,89.9715861607889"
"74,""Pennisetum"",""Dryland"",0.5,5.983,91.6429884673241"
"75,""Pennisetum"",""Dryland"",0.8,5.983,86.6287815477185"
"76,""Stenotaphrum"",""Dryland"",0.9,5.983,84.9573792411833"
"77,""Stenotaphrum"",""Dryland"",1.1,5.983,81.614574628113"
"78,""Stenotaphrum"",""Dryland"",1.1,5.983,81.614574628113"
"79,""Stenotaphrum"",""Dryland"",1.1,5.983,81.614574628113"
"80,""Stenotaphrum"",""Dryland"",0.6,5.983,89.9715861607889"
"81,""Ficinia"",""Wetland"",2,5.983,66.5719538692963"
"82,""Ficinia"",""Wetland"",1.9,5.983,68.2433561758315"
"83,""Ficinia"",""Wetland"",2.48,5.983,58.5492227979275"
"84,""Ficinia"",""Wetland"",3,5.983,49.8579308039445"
"85,""Ficinia"",""Wetland"",3,5.983,49.8579308039445"
"86,""Zantedeschia"",""Wetland"",2.5,5.983,58.2149423366204"
"87,""Zantedeschia"",""Wetland"",2.1,5.983,64.9005515627612"
"88,""Zantedeschia"",""Wetland"",1.6,5.983,73.2575630954371"
"89,""Zantedeschia"",""Wetland"",2.6,5.983,56.5435400300852"
"90,""Zantedeschia"",""Wetland"",2.7,5.983,54.8721377235501"
"91,""Phragmites"",""Wetland"",4.2,5.983,29.8011031255223"
"92,""Phragmites"",""Wetland"",4.5,5.983,24.7868962059168"
"93,""Phragmites"",""Wetland"",4.3,5.983,28.1297008189871"
"94,""Phragmites"",""Wetland"",3.9,5.983,34.8153100451279"
"95,""Phragmites"",""Wetland"",3,5.983,49.8579308039445"
"96,""Typha"",""Wetland"",2.3,5.983,61.5577469496908"
"97,""Typha"",""Wetland"",3.3,5.983,44.843723884339"
"98,""Typha"",""Wetland"",1.9,5.983,68.2433561758315"
"99,""Typha"",""Wetland"",1.9,5.983,68.2433561758315"
"100,""Typha"",""Wetland"",3.9,5.983,34.8153100451279"
